date,value
Dec 15 00:00,251.12
Dec 15 01:00,249.80
Dec 15 02:00,252.73
Dec 15 03:00,247.91
Dec 15 04:00,247.70
Dec 15 05:00,252.42
Dec 15 06:00,250.10
Dec 15 07:00,249.56
Dec 15 08:00,251.95
Dec 15 09:00,250.70
Dec 15 10:00,249.40
Dec 15 11:00,250.15
Dec 16 00:00,248.33
Dec 16 01:00,251.20
Dec 16 02:00,253.10
Dec 16 03:00,251.05
Dec 16 04:00,249.75
Dec 16 05:00,250.05
Dec 16 06:00,251.50
Dec 16 07:00,252.65
Dec 16 08:00,253.12
Dec 16 09:00,251.80
Dec 16 10:00,249.65
Dec 16 11:00,250.95
Dec 17 00:00,251.40
Dec 17 01:00,247.00
Dec 17 02:00,247.00
Dec 17 03:00,247.00
Dec 17 04:00,247.00
Dec 17 05:00,247.00
Dec 17 06:00,247.00
Dec 17 07:00,247.00
Dec 17 08:00,247.00
Dec 17 09:00,247.00
Dec 17 10:00,247.00
Dec 17 11:00,247.00
Dec 18 00:00,247.00
Dec 18 01:00,247.25
Dec 18 02:00,247.00
Dec 18 03:00,247.00
Dec 18 04:00,247.00
Dec 18 05:00,247.00
Dec 18 06:00,247.05
Dec 18 07:00,247.45
Dec 18 08:00,247.25
Dec 18 09:00,253.00
Dec 18 10:00,247.30
Dec 18 11:00,247.55
Dec 19 00:00,247.10
Dec 19 01:00,247.90
Dec 19 02:00,248.45
Dec 19 03:00,249.10
Dec 19 04:00,250.25
Dec 19 05:00,254.10
Dec 19 06:00,249.75
Dec 19 07:00,251.60
Dec 19 08:00,252.10
Dec 19 09:00,250.95
Dec 19 10:00,249.20
Dec 19 11:00,250.35
Dec 20 00:00,252.45
Dec 20 01:00,251.50
Dec 20 02:00,249.95
Dec 20 03:00,250.70
Dec 20 04:00,247.00
Dec 20 05:00,247.00
Dec 20 06:00,250.15
Dec 20 07:00,252.55
Dec 20 08:00,253.10
Dec 20 09:00,251.80
Dec 20 10:00,250.90
Dec 20 11:00,249.75
